,index,Pincode,Districtname,StateName
293,7569,135021,YAMUNA NAGAR,HARYANA
294,7604,135101,YAMUNA NAGAR,HARYANA
295,7651,135102,YAMUNA NAGAR,HARYANA
296,7738,135103,YAMUNA NAGAR,HARYANA
297,7808,135106,YAMUNA NAGAR,HARYANA
298,7844,135133,YAMUNA NAGAR,HARYANA
299,8009,136020,KAITHAL,HARYANA
300,8018,136021,KAITHAL,HARYANA
301,8031,136026,KAITHAL,HARYANA
302,8040,136027,KAITHAL,HARYANA
303,8130,136030,KURUKSHETRA,HARYANA
304,8148,136033,KAITHAL,HARYANA
305,8175,136034,KAITHAL,HARYANA
306,8232,136035,KAITHAL,HARYANA
307,8263,136038,KURUKSHETRA,HARYANA
308,8271,136042,KAITHAL,HARYANA
309,8285,136043,KAITHAL,HARYANA
310,8296,136044,KAITHAL,HARYANA
311,8307,136117,KAITHAL,HARYANA
312,8342,136118,KURUKSHETRA,HARYANA
313,8352,136119,KURUKSHETRA,HARYANA
314,8413,136128,KURUKSHETRA,HARYANA
315,8473,136129,KURUKSHETRA,HARYANA
316,8500,136130,KURUKSHETRA,HARYANA
317,8519,136131,KURUKSHETRA,HARYANA
318,8576,136132,KURUKSHETRA,HARYANA
319,8640,136135,KURUKSHETRA,HARYANA
320,8731,136136,KURUKSHETRA,HARYANA
321,8744,136156,KURUKSHETRA,HARYANA
322,8789,140001,RUPNAGAR,PUNJAB
323,8820,140101,RUPNAGAR,PUNJAB
324,8854,140102,RUPNAGAR,PUNJAB
325,8877,140103,RUPNAGAR,PUNJAB
326,8932,140108,RUPNAGAR,PUNJAB
327,8991,140109,RUPNAGAR,PUNJAB
328,9006,140110,RUPNAGAR,PUNJAB
329,9040,140111,RUPNAGAR,PUNJAB
330,9118,140112,RUPNAGAR,PUNJAB
331,9143,140113,RUPNAGAR,PUNJAB
332,9200,140114,RUPNAGAR,PUNJAB
333,9227,140115,RUPNAGAR,PUNJAB
334,9242,140116,RUPNAGAR,PUNJAB
335,9266,140117,RUPNAGAR,PUNJAB
336,9345,140118,RUPNAGAR,PUNJAB
337,9355,140119,RUPNAGAR,PUNJAB
338,9388,140123,RUPNAGAR,PUNJAB
339,9413,140124,RUPNAGAR,PUNJAB
340,9420,140125,RUPNAGAR,PUNJAB
341,9436,140126,RUPNAGAR,PUNJAB
342,9469,140133,RUPNAGAR,PUNJAB
343,9486,140201,PATIALA,PUNJAB
344,9495,140301,RUPNAGAR,PUNJAB
345,9529,140306,RUPNAGAR,PUNJAB
346,9554,140307,RUPNAGAR,PUNJAB
347,9597,140308,RUPNAGAR,PUNJAB
348,9606,140401,PATIALA,PUNJAB
349,9616,140402,PATIALA,PUNJAB
350,9708,140405,FATEHGARH SAHIB,PUNJAB
351,9729,140406,FATEHGARH SAHIB,PUNJAB
352,9809,140407,FATEHGARH SAHIB,PUNJAB
353,9813,140408,FATEHGARH SAHIB,PUNJAB
354,9848,140412,FATEHGARH SAHIB,PUNJAB
355,9898,140413,RUPNAGAR,PUNJAB
356,9925,140417,PATIALA,PUNJAB
357,9976,140501,PATIALA,PUNJAB
358,10020,140506,PATIALA,PUNJAB
359,10040,140507,PATIALA,PUNJAB
360,10076,140601,PATIALA,PUNJAB
361,10099,140602,FATEHGARH SAHIB,PUNJAB
362,10135,140603,PATIALA,PUNJAB
363,10147,140604,PATIALA,PUNJAB
364,10148,140701,PATIALA,PUNJAB
365,10193,140702,PATIALA,PUNJAB
366,10231,140802,LUDHIANA,PUNJAB
367,10258,140901,CHANDIGARH,CHANDIGARH
368,10287,141001,LUDHIANA,PUNJAB
369,10288,141002,LUDHIANA,PUNJAB
370,10289,141003,LUDHIANA,PUNJAB
371,10290,141004,LUDHIANA,PUNJAB
372,10291,141006,LUDHIANA,PUNJAB
373,10292,141007,LUDHIANA,PUNJAB
374,10325,141008,LUDHIANA,PUNJAB
375,10366,141010,LUDHIANA,PUNJAB
376,10367,141012,LUDHIANA,PUNJAB
377,10368,141013,LUDHIANA,PUNJAB
378,10369,141014,LUDHIANA,PUNJAB
379,10370,141015,LUDHIANA,PUNJAB
380,10380,141016,LUDHIANA,PUNJAB
381,10381,141017,LUDHIANA,PUNJAB
382,10382,141101,LUDHIANA,PUNJAB
383,10389,141102,LUDHIANA,PUNJAB
384,10398,141103,LUDHIANA,PUNJAB
385,10400,141104,LUDHIANA,PUNJAB
386,10405,141105,LUDHIANA,PUNJAB
387,10411,141106,LUDHIANA,PUNJAB
388,10412,141107,LUDHIANA,PUNJAB
389,10424,141108,LUDHIANA,PUNJAB
390,10437,141109,LUDHIANA,PUNJAB
391,10457,141110,LUDHIANA,PUNJAB
392,10473,141112,LUDHIANA,PUNJAB
393,10491,141113,LUDHIANA,PUNJAB
394,10503,141114,LUDHIANA,PUNJAB
395,10551,141115,LUDHIANA,PUNJAB
396,10623,141116,LUDHIANA,PUNJAB
397,10634,141117,LUDHIANA,PUNJAB
398,10654,141118,LUDHIANA,PUNJAB
399,10665,141119,LUDHIANA,PUNJAB
400,10687,141120,LUDHIANA,PUNJAB
401,10702,141121,LUDHIANA,PUNJAB
402,10735,141122,LUDHIANA,PUNJAB
403,10740,141123,LUDHIANA,PUNJAB
404,10746,141125,LUDHIANA,PUNJAB
405,10753,141126,LUDHIANA,PUNJAB
406,10772,141127,LUDHIANA,PUNJAB
407,10798,141201,LUDHIANA,PUNJAB
408,10799,141202,LUDHIANA,PUNJAB
409,10803,141203,LUDHIANA,PUNJAB
410,10809,141204,LUDHIANA,PUNJAB
411,10817,141205,LUDHIANA,PUNJAB
412,10827,141206,LUDHIANA,PUNJAB
413,10840,141401,LUDHIANA,PUNJAB
414,10861,141411,FATEHGARH SAHIB,PUNJAB
415,10879,141412,LUDHIANA,PUNJAB
416,10905,141413,LUDHIANA,PUNJAB
417,10914,141414,LUDHIANA,PUNJAB
418,10953,141415,LUDHIANA,PUNJAB
419,10961,141416,LUDHIANA,PUNJAB
420,10979,141417,LUDHIANA,PUNJAB
421,10996,141418,LUDHIANA,PUNJAB
422,11006,141419,LUDHIANA,PUNJAB
423,11009,141421,LUDHIANA,PUNJAB
424,11039,141422,LUDHIANA,PUNJAB
425,11042,141801,FATEHGARH SAHIB,PUNJAB
426,11065,142001,MOGA,PUNJAB
427,11071,142002,MOGA,PUNJAB
428,11088,142003,MOGA,PUNJAB
429,11095,142011,MOGA,PUNJAB
430,11105,142021,LUDHIANA,PUNJAB
431,11108,142022,LUDHIANA,PUNJAB
432,11116,142023,LUDHIANA,PUNJAB
433,11127,142024,LUDHIANA,PUNJAB
434,11140,142025,LUDHIANA,PUNJAB
435,11153,142026,LUDHIANA,PUNJAB
436,11165,142027,LUDHIANA,PUNJAB
437,11173,142028,LUDHIANA,PUNJAB
438,11175,142029,LUDHIANA,PUNJAB
439,11183,142030,LUDHIANA,PUNJAB
440,11197,142031,LUDHIANA,PUNJAB
441,11199,142032,LUDHIANA,PUNJAB
442,11215,142033,LUDHIANA,PUNJAB
443,11261,142034,LUDHIANA,PUNJAB
444,11269,142035,LUDHIANA,PUNJAB
445,11277,142036,LUDHIANA,PUNJAB
446,11287,142037,MOGA,PUNJAB
447,11294,142038,MOGA,PUNJAB
448,11319,142039,MOGA,PUNJAB
449,11330,142040,MOGA,PUNJAB
450,11338,142041,MOGA,PUNJAB
451,11351,142042,MOGA,PUNJAB
452,11397,142043,FIROZPUR,PUNJAB
453,11494,142044,FIROZPUR,PUNJAB
454,11589,142045,MOGA,PUNJAB
455,11592,142046,MOGA,PUNJAB
456,11599,142047,FIROZPUR,PUNJAB
457,11647,142048,MOGA,PUNJAB
458,11676,142049,MOGA,PUNJAB
459,11689,142050,FIROZPUR,PUNJAB
460,11718,142052,FIROZPUR,PUNJAB
461,11762,142053,MOGA,PUNJAB
462,11774,142054,MOGA,PUNJAB
463,11781,142055,MOGA,PUNJAB
464,11791,142056,MOGA,PUNJAB
465,11796,142057,MOGA,PUNJAB
466,11805,142058,MOGA,PUNJAB
467,11828,142060,FIROZPUR,PUNJAB
468,11840,143001,AMRITSAR,PUNJAB
469,11850,143002,AMRITSAR,PUNJAB
470,11853,143005,AMRITSAR,PUNJAB
471,11854,143006,AMRITSAR,PUNJAB
472,11866,143008,AMRITSAR,PUNJAB
473,11880,143009,AMRITSAR,PUNJAB
474,11905,143022,AMRITSAR,PUNJAB
475,11928,143101,AMRITSAR,PUNJAB
476,11967,143102,AMRITSAR,PUNJAB
477,12099,143103,AMRITSAR,PUNJAB
478,12135,143105,AMRITSAR,PUNJAB
479,12176,143107,TARN TARAN,PUNJAB
480,12216,143108,AMRITSAR,PUNJAB
481,12256,143109,AMRITSAR,PUNJAB
482,12339,143111,TARN TARAN,PUNJAB
483,12376,143112,TARN TARAN,PUNJAB
484,12412,143113,AMRITSAR,PUNJAB
485,12431,143114,AMRITSAR,PUNJAB
486,12465,143115,AMRITSAR,PUNJAB
487,12492,143116,AMRITSAR,PUNJAB
488,12533,143117,TARN TARAN,PUNJAB
489,12548,143118,TARN TARAN,PUNJAB
490,12566,143119,AMRITSAR,PUNJAB
491,12591,143149,AMRITSAR,PUNJAB
492,12621,143201,AMRITSAR,PUNJAB
493,12637,143202,AMRITSAR,PUNJAB
494,12653,143203,AMRITSAR,PUNJAB
495,12673,143204,AMRITSAR,PUNJAB
496,12684,143205,AMRITSAR,PUNJAB
497,12695,143301,TARN TARAN,PUNJAB
498,12722,143302,TARN TARAN,PUNJAB
499,12749,143303,TARN TARAN,PUNJAB
500,12772,143304,TARN TARAN,PUNJAB
501,12810,143305,TARN TARAN,PUNJAB
502,12846,143401,TARN TARAN,PUNJAB
503,12881,143402,TARN TARAN,PUNJAB
504,12914,143406,TARN TARAN,PUNJAB
505,12938,143407,TARN TARAN,PUNJAB
506,12952,143408,TARN TARAN,PUNJAB
507,12970,143409,TARN TARAN,PUNJAB
508,12993,143410,TARN TARAN,PUNJAB
509,13016,143411,TARN TARAN,PUNJAB
510,13051,143412,TARN TARAN,PUNJAB
511,13072,143413,AMRITSAR,PUNJAB
512,13091,143414,TARN TARAN,PUNJAB
513,13109,143415,TARN TARAN,PUNJAB
514,13140,143416,TARN TARAN,PUNJAB
515,13221,143419,TARN TARAN,PUNJAB
516,13273,143422,TARN TARAN,PUNJAB
517,13280,143501,AMRITSAR,PUNJAB
518,13300,143502,AMRITSAR,PUNJAB
519,13337,143504,AMRITSAR,PUNJAB
520,13372,143505,GURDASPUR,PUNJAB
521,13389,143506,GURDASPUR,PUNJAB
522,13484,143507,GURDASPUR,PUNJAB
523,13546,143511,GURDASPUR,PUNJAB
524,13639,143512,GURDASPUR,PUNJAB
525,13683,143513,GURDASPUR,PUNJAB
526,13714,143514,GURDASPUR,PUNJAB
527,13754,143515,GURDASPUR,PUNJAB
528,13790,143516,GURDASPUR,PUNJAB
529,13850,143517,GURDASPUR,PUNJAB
530,13899,143518,Pathankot,PUNJAB
531,13968,143519,GURDASPUR,PUNJAB
532,14017,143520,GURDASPUR,PUNJAB
533,14077,143521,GURDASPUR,PUNJAB
534,14104,143525,Pathankot,PUNJAB
535,14141,143526,GURDASPUR,PUNJAB
536,14226,143527,GURDASPUR,PUNJAB
537,14264,143528,GURDASPUR,PUNJAB
538,14312,143529,GURDASPUR,PUNJAB
539,14336,143530,GURDASPUR,PUNJAB
540,14397,143531,GURDASPUR,PUNJAB
541,14485,143532,GURDASPUR,PUNJAB
542,14530,143533,Pathankot,PUNJAB
543,14560,143534,Pathankot,PUNJAB
544,14634,143601,AMRITSAR,PUNJAB
545,14695,143602,GURDASPUR,PUNJAB
546,14754,143603,AMRITSAR,PUNJAB
547,14797,143604,GURDASPUR,PUNJAB
548,14880,143605,GURDASPUR,PUNJAB
549,14908,143606,AMRITSAR,PUNJAB
550,14957,144001,JALANDHAR,PUNJAB
551,14969,144002,JALANDHAR,PUNJAB
552,15000,144003,JALANDHAR,PUNJAB
553,15006,144004,JALANDHAR,PUNJAB
554,15028,144005,JALANDHAR,PUNJAB
555,15033,144006,JALANDHAR,PUNJAB
556,15035,144007,JALANDHAR,PUNJAB
557,15036,144008,JALANDHAR,PUNJAB
558,15043,144009,JALANDHAR,PUNJAB
559,15047,144010,JALANDHAR,PUNJAB
560,15049,144011,JALANDHAR,PUNJAB
561,15051,144012,JALANDHAR,PUNJAB
562,15061,144015,JALANDHAR,PUNJAB
563,15062,144020,JALANDHAR,PUNJAB
564,15073,144021,JALANDHAR,PUNJAB
565,15090,144022,JALANDHAR,PUNJAB
566,15093,144023,JALANDHAR,PUNJAB
567,15095,144024,JALANDHAR,PUNJAB
568,15116,144025,JALANDHAR,PUNJAB
569,15144,144026,JALANDHAR,PUNJAB
570,15203,144027,JALANDHAR,PUNJAB
571,15204,144028,JALANDHAR,PUNJAB
572,15207,144029,JALANDHAR,PUNJAB
573,15218,144030,JALANDHAR,PUNJAB
574,15225,144031,JALANDHAR,PUNJAB
575,15227,144032,JALANDHAR,PUNJAB
576,15234,144033,JALANDHAR,PUNJAB
577,15244,144034,JALANDHAR,PUNJAB
578,15253,144035,JALANDHAR,PUNJAB
579,15264,144036,JALANDHAR,PUNJAB
580,15280,144037,JALANDHAR,PUNJAB
581,15293,144039,JALANDHAR,PUNJAB
582,15337,144040,JALANDHAR,PUNJAB
583,15367,144041,JALANDHAR,PUNJAB
584,15433,144042,JALANDHAR,PUNJAB
585,15441,144043,JALANDHAR,PUNJAB
586,15452,144044,JALANDHAR,PUNJAB
587,15460,144101,JALANDHAR,PUNJAB
588,15486,144102,JALANDHAR,PUNJAB
589,15558,144103,JALANDHAR,PUNJAB
590,15565,144104,JALANDHAR,PUNJAB
591,15570,144105,HOSHIARPUR,PUNJAB
592,15636,144106,JALANDHAR,PUNJAB
593,15676,144201,JALANDHAR,PUNJAB
594,15724,144202,HOSHIARPUR,PUNJAB
595,15789,144204,HOSHIARPUR,PUNJAB
596,15866,144205,HOSHIARPUR,PUNJAB
597,16011,144206,HOSHIARPUR,PUNJAB
598,16027,144207,HOSHIARPUR,PUNJAB
599,16139,144208,HOSHIARPUR,PUNJAB
600,16216,144209,HOSHIARPUR,PUNJAB
601,16228,144210,HOSHIARPUR,PUNJAB
602,16282,144211,HOSHIARPUR,PUNJAB
603,16374,144212,HOSHIARPUR,PUNJAB
604,16396,144213,HOSHIARPUR,PUNJAB
605,16411,144214,HOSHIARPUR,PUNJAB
606,16473,144216,HOSHIARPUR,PUNJAB
607,16494,144221,HOSHIARPUR,PUNJAB
608,16606,144222,HOSHIARPUR,PUNJAB
609,16645,144223,HOSHIARPUR,PUNJAB
610,16688,144224,HOSHIARPUR,PUNJAB
611,16737,144301,JALANDHAR,PUNJAB
612,16754,144302,JALANDHAR,PUNJAB
613,16770,144303,JALANDHAR,PUNJAB
614,16796,144305,HOSHIARPUR,PUNJAB
615,16844,144306,HOSHIARPUR,PUNJAB
616,16924,144311,JALANDHAR,PUNJAB
617,16928,144401,KAPURTHALA,PUNJAB
618,16934,144402,KAPURTHALA,PUNJAB
619,16973,144403,KAPURTHALA,PUNJAB
620,16982,144404,HOSHIARPUR,PUNJAB
621,16996,144405,KAPURTHALA,PUNJAB
622,17005,144406,HOSHIARPUR,PUNJAB
623,17011,144407,KAPURTHALA,PUNJAB
624,17027,144408,KAPURTHALA,PUNJAB
625,17028,144409,JALANDHAR,PUNJAB
626,17069,144410,LUDHIANA,PUNJAB
627,17119,144411,KAPURTHALA,PUNJAB
628,17136,144415,NAWANSHAHR,PUNJAB
629,17140,144416,JALANDHAR,PUNJAB
630,17155,144417,NAWANSHAHR,PUNJAB
